11891230 1133 N16E64 B            5864 CAO 12  8  90 9001 4.3 9001 4.3 597 2SVTO
11891230 1250 N14E63 B            5864 DAO  9  9  90 9001 4.3 9001 4.3 656 3RAMY
11891230 1330 N13E69 B            5864 BXO  9  5  10 9001 4.8 9001 4.3 580 3LEAR
11891230 1646 N15E63 B            5864 CAO  5  8  70 9001 4.5 9001 4.3 452 2BOUL
11891230 1845 N13E60 B            5864 CSO  8  6 110 9001 4.3 9001 4.3 620 3PALE
11891230 2130 N13E58 B            5864 DAO 15  7 130 9001 4.3 9001 4.3 647 3HOLL
11891231 0025 N15E58              5864     10  8  60 9001 4.4 9001 4.3 874 3CULG
11891231 0250 N13E55 B            5864 DAO  7  8  70 9001 4.3 9001 4.3 580 3LEAR
11891231 0807 N16E53 B            5864 DAO 22 10  90 9001 4.3 9001 4.3 597 3SVTO
11891231 1310 N14E51 B            5864 DAO 18 10 120 9001 4.4 9001 4.3 656 3RAMY
11891231 1550 N14E49 B            5864 DAO 12 10  80 9001 4.4 9001 4.3 452 2BOUL
11891231 1715 N14E48 B            5864 CRO 20  8  50 9001 4.3 9001 4.3 647 4HOLL
11891231 1930 N15E47 B            5864 BXO 20  9  60 9001 4.4 9001 4.3 620 2PALE
11900101 0105 N14E45 B            5864 CAO 16 10  90 9001 4.4 9001 4.3 580 3LEAR
11900101 1356 N15E36 B            5864 CAO 25  9 110 9001 4.3 9001 4.3 656 3RAMY
11900101 1610 N15E34 B            5864 DAO 12 10 110 9001 4.2 9001 4.3 647 4HOLL
11900101 1700 N16E33 B            5864 CAO 11 10  80 9001 4.2 9001 4.3 452 3BOUL
11900101 1941 N14E33 B            5864 CAO 11 10 100 9001 4.3 9001 4.3 620 3PALE
11900102 0013 N14E30 B            5864 CAO 10 11 160 9001 4.3 9001 4.3 580 3LEAR
11900102 0140 N16E28 B            5864 CAO 17 10  80 9001 4.2 9001 4.3 874 3CULG
11900102 1329 N15E23 B            5864 CAO  8  9 100 9001 4.3 9001 4.3 656 3RAMY
11900102 1545 N15E22 B            5864 CSO 12  9  70 9001 4.3 9001 4.3 647 3HOLL
11900102 1630 N16E21 B            5864 CAO 11  9  60 9001 4.3 9001 4.3 452 2BOUL
11900102 2235 N15E18 B            5864 CAO 13  8  90 9001 4.3 9001 4.3 620 2PALE
11900103 0015 N15E16 B            5864 CAO  9  9  70 9001 4.2 9001 4.3 580 2LEAR
11900103 1329 N16E09 B            5864 DAO 12  9 150 9001 4.2 9001 4.3 656 3RAMY
11900103 1515 N15E11 B            5864 CAO  8 10  70 9001 4.5 9001 4.3 647 3HOLL
11900103 1720 N15E04 B            5864 CAO  7  3  60 9001 4.0 9001 4.3 452 3BOUL
11900103 1805 N16E08 B            5864 CAO  9  9 150 9001 4.4 9001 4.3 620 3PALE
11900104 0035 N15E04 B            5864 EKO 17 11  70 9001 4.3 9001 4.3 580 2LEAR
11900104 0908 N16W01 B            5864 CAO 34 11 110 9001 4.3 9001 4.3 597 3SVTO
11900104 1415 N16W04 B            5864 EAI 42 12 280 9001 4.3 9001 4.3 656 3RAMY
11900104 1545 N13W06 B            5864 DAI 12  8 190 9001 4.2 9001 4.3 452 2BOUL
